# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
02/09/2024 00:00:00,Class A,219005068,55.171433,11.160200,Under way using engine,0.0,0.0,,18,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,219005941,56.231367,11.888337,Engaged in fishing,0.0,2.6,301.4,300,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,245535000,57.005742,10.164888,Under way using engine,0.0,10.1,317.9,318,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Base Station,2190047,55.697250,12.613717,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,Surveyed,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,219017815,55.965932,11.844703,Under way using engine,0.0,0.0,67.7,246,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,266143000,57.216302,12.030602,Engaged in fishing,,2.4,159.3,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,3638,91.000000,0.000000,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,241281000,56.904938,11.806688,Under way using engine,0.0,13.3,341.8,342,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,636023980,57.758058,9.492935,Under way using engine,0.0,11.3,58.6,60,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,230007000,57.278802,8.604495,Under way sailing,0.0,15.2,235.4,235,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,248102000,55.988283,11.049667,Under way using engine,0.0,14.4,36.0,37,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class B,219033608,91.000000,0.000000,Unknown value,,,,,Unknown,XPI4750,,Pleasure,,5,20,Undefined,,Unknown,,AIS,10,10,3,2
02/09/2024 00:00:00,Class A,219005496,57.300353,9.529563,Unknown value,0.0,0.0,17.8,74,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,219017664,56.981293,8.916833,Under way using engine,0.0,0.0,9.4,126,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,219020188,56.786037,8.876350,Unknown value,,0.0,,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,255805883,91.000000,0.000000,Unknown value,,,,,9108063,CQYD,PIRITA,Cargo,No additional information,18,133,GPS,7.3,HAMBURG,02/09/2024 18:30:00,AIS,114,19,11,7
02/09/2024 00:00:00,Class A,219006283,91.000000,0.000000,Unknown value,,,,,Unknown,OXTX,MI_BROBERG,Fishing,,4,15,GPS,,Unknown,20/01/2025 12:16:00,AIS,15,,2,2
02/09/2024 00:00:00,Class A,219000897,56.694023,11.945672,Engaged in fishing,0.0,2.7,,14,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,219005921,56.505020,11.912113,Unknown value,,2.7,275.0,277,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,351282000,55.623832,15.147895,Under way using engine,0.0,9.7,237.0,240,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,636022042,54.884732,10.868622,Under way using engine,,10.0,186.6,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Base Station,2190064,56.716572,11.519047,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,636022042,54.884732,10.868622,Under way using engine,,10.0,186.6,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,563045300,57.723737,8.702438,Under way using engine,0.0,13.3,81.2,82,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,563045300,57.723737,8.702438,Under way using engine,0.0,13.3,81.2,82,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,563045300,57.723737,8.702438,Under way using engine,0.0,13.3,81.2,82,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,636022042,54.884732,10.868622,Under way using engine,,10.0,186.6,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,636022042,54.884732,10.868622,Under way using engine,,10.0,186.6,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,563045300,57.723737,8.702438,Under way using engine,0.0,13.3,81.2,82,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,636022042,54.884732,10.868622,Under way using engine,,10.0,186.6,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,209864000,91.000000,0.000000,Unknown value,,,,,9108350,5BKU5,POLONIA,Passenger,,28,170,GPS,5.8,SWINOUJSCIE<=>YSTAD,02/09/2024 04:00:00,AIS,17,153,14,14
02/09/2024 00:00:00,Class A,265781890,57.989722,11.539765,Unknown value,,0.0,174.4,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,351282000,55.623832,15.147895,Under way using engine,0.0,9.7,237.0,240,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,249883000,56.522023,11.704622,Under way using engine,0.0,11.0,35.5,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,249883000,56.522023,11.704622,Under way using engine,0.0,11.0,35.5,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,309481000,57.796528,8.549058,Under way using engine,0.0,9.2,264.9,264,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,249883000,56.522023,11.704622,Under way using engine,0.0,11.0,35.5,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,249883000,56.522023,11.704622,Under way using engine,0.0,11.0,35.5,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,249883000,56.522023,11.704622,Under way using engine,0.0,11.0,35.5,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,259961000,56.426578,3.211167,Under way using engine,0.0,0.4,231.0,248,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,309481000,57.796528,8.549058,Under way using engine,0.0,9.2,264.9,264,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,249883000,56.522023,11.704622,Under way using engine,0.0,11.0,35.5,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,249883000,56.522023,11.704622,Under way using engine,0.0,11.0,35.5,35,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
02/09/2024 00:00:00,Class A,265051120,57.240782,12.111825,Unknown value,,0.0,,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
