# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
23/05/2024 05:16:43,Class A,219021578,55.000525,7.824398,Under way using engine,,0.5,265.5,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
23/05/2024 05:16:54,Class A,219021578,55.000525,7.824398,Under way using engine,,0.5,265.5,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:17:13,Class A,219021578,55.000528,7.82429,Under way using engine,,0.7,273.1,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:17:23,Class A,219021578,55.000527,7.824247,Under way using engine,,0.0,262.4,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:17:35,Class A,219021578,55.000527,7.824203,Under way using engine,,0.0,270.3,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:17:53,Class A,219021578,55.000522,7.824153,Under way using engine,,0.6,273.3,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:18:04,Class A,219021578,55.00052,7.824118,Under way using engine,,0.0,272.2,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:18:13,Class A,219021578,55.000518,7.824083,Under way using engine,,0.6,270.5,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:18:23,Class A,219021578,55.00052,7.824035,Under way using engine,,0.0,270.0,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:18:35,Class A,219021578,55.00052,7.82398,Under way using engine,,0.5,267.5,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
23/05/2024 05:18:43,Class A,219021578,55.000522,7.82394,Under way using engine,,0.4,261.3,,Unknown,OX2994,ESVAGT WIND 3,HSC,,4.0,12.0,GPS,1.0,BUTENDIEK,15/05/2024 13:30:00,AIS,6.0,6.0,2.0,2.0
