# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
22/11/2024 00:00:09,Class A,219026490,55.64131,7.711405,Under way using engine,0.0,1.4,265.0,267.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
22/11/2024 00:00:09,Class A,219026490,55.64131,7.711405,Under way using engine,0.0,1.4,265.0,267.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
22/11/2024 00:00:19,Class A,219026490,55.641283,7.711312,Under way using engine,0.0,1.3,242.0,266.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
22/11/2024 00:00:19,Class A,219026490,55.641283,7.711312,Under way using engine,0.0,1.3,242.0,266.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:00:28,Class A,219026490,55.641273,7.711235,Under way using engine,0.0,1.1,250.0,265.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:00:28,Class A,219026490,55.641273,7.711235,Under way using engine,0.0,1.1,250.0,265.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:00:37,Class A,219026490,55.64125,7.711147,Under way using engine,0.0,1.2,239.0,266.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:00:38,Class A,219026490,55.64125,7.711147,Under way using engine,0.0,1.2,239.0,266.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:00:49,Class A,219026490,55.641218,7.71104,Under way using engine,0.0,1.2,248.0,266.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:00:49,Class A,219026490,55.641218,7.71104,Under way using engine,0.0,1.2,248.0,266.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:00:58,Class A,219026490,55.641213,7.710945,Under way using engine,0.0,1.2,239.0,267.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:01:09,Class A,219026490,55.641195,7.710857,Under way using engine,0.0,1.2,257.0,268.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:01:09,Class A,219026490,55.641195,7.710857,Under way using engine,0.0,1.2,257.0,268.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:01:19,Class A,219026490,55.641182,7.710775,Under way using engine,0.0,1.1,273.0,268.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:01:28,Class A,219026490,55.641152,7.710705,Under way using engine,0.0,1.2,226.0,267.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:01:38,Class A,219026490,55.64116,7.710623,Under way using engine,0.0,1.0,289.0,268.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:01:38,Class A,219026490,55.64116,7.710623,Under way using engine,0.0,1.0,289.0,268.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:01:49,Class A,219026490,55.641123,7.710547,Under way using engine,,1.1,235.0,266.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:01:49,Class A,219026490,55.641123,7.710547,Under way using engine,,1.1,235.0,266.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
22/11/2024 00:01:58,Class A,219026490,55.64112,7.71046,Under way using engine,0.0,1.0,262.0,265.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,20/11/2024 19:20:00,AIS,14.0,19.0,6.0,6.0
