# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
22/05/2024 03:54:02,Class A,219421000,55.828108,7.554835,Under way using engine,,3.0,10.0,28.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
22/05/2024 03:54:29,Class A,219421000,55.828108,7.554835,Under way using engine,,3.0,10.0,28.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:54:32,Class A,219421000,55.828505,7.554917,Under way using engine,,2.9,5.7,29.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:54:52,Class A,219421000,55.82878,7.554983,Under way using engine,0.0,2.9,5.4,28.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:55:02,Class A,219421000,55.828905,7.555043,Under way using engine,,2.8,10.2,34.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:55:14,Class A,219421000,55.829055,7.55509,Under way using engine,,2.9,9.3,34.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:55:32,Class A,219421000,55.829307,7.555218,Under way using engine,0.0,2.9,14.2,34.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:55:52,Class A,219421000,55.829568,7.55534,Under way using engine,,2.9,13.5,34.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:56:02,Class A,219421000,55.829702,7.555398,Under way using engine,,2.9,13.3,34.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:56:14,Class A,219421000,55.829843,7.555448,Under way using engine,0.0,2.9,11.0,33.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:56:32,Class A,219421000,55.830098,7.555537,Under way using engine,,2.9,9.4,37.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:56:52,Class A,219421000,55.830347,7.555663,Under way using engine,0.0,2.8,15.3,36.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:57:02,Class A,219421000,55.830475,7.55576,Under way using engine,,2.9,19.6,38.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:57:14,Class A,219421000,55.830615,7.555887,Under way using engine,0.0,3.0,23.1,40.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:57:32,Class A,219421000,55.830862,7.556067,Under way using engine,,3.0,21.8,41.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:57:42,Class A,219421000,55.830965,7.55615,Under way using engine,0.0,2.8,22.9,38.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:57:52,Class A,219421000,55.831108,7.556257,Under way using engine,0.0,2.9,23.0,38.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:58:02,Class A,219421000,55.831233,7.556377,Under way using engine,,3.0,25.8,39.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:58:14,Class A,219421000,55.831372,7.556477,Under way using engine,,2.9,24.7,39.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:58:32,Class A,219421000,55.831605,7.556663,Under way using engine,0.0,2.8,24.8,41.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
22/05/2024 03:58:42,Class A,219421000,55.831717,7.556777,Under way using engine,0.0,2.9,26.6,40.0,Unknown,OZHA,VICTORY,Fishing,,4.0,14.0,GPS,2.5,HVIDE SANDE,,AIS,12.0,2.0,2.0,2.0
