# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
28/11/2024 00:11:53,Class A,244341000,55.328853,7.427232,Under way using engine,0.0,7.4,257.1,265.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
30/11/2024 04:07:45,Class A,244341000,55.001878,7.04937,Under way using engine,0.0,10.0,340.7,338.0,9850355,PBOI,ACTA CENTAURUS,Other,No additional information,18.0,93.0,Undefined,5.8,SANDBANK OWF,30/11/2024 03:00:00,AIS,46.0,47.0,8.0,10.0
30/11/2024 04:07:45,Class A,244341000,55.001878,7.04937,Under way using engine,0.0,10.0,340.7,338.0,9850355,PBOI,ACTA CENTAURUS,Other,No additional information,18.0,93.0,Undefined,5.8,SANDBANK OWF,30/11/2024 03:00:00,AIS,46.0,47.0,8.0,10.0
30/11/2024 04:07:45,Class A,244341000,55.001878,7.04937,Under way using engine,0.0,10.0,340.7,338.0,9850355,PBOI,ACTA CENTAURUS,Other,No additional information,18.0,93.0,Undefined,5.8,SANDBANK OWF,30/11/2024 03:00:00,AIS,46.0,47.0,8.0,10.0
30/11/2024 04:07:56,Class A,244341000,55.002348,7.049003,Under way using engine,0.0,10.1,336.9,338.0,9850355,PBOI,ACTA CENTAURUS,Other,No additional information,18.0,93.0,Undefined,5.8,SANDBANK OWF,30/11/2024 03:00:00,AIS,46.0,47.0,8.0,10.0
30/11/2024 04:07:56,Class A,244341000,55.002348,7.049003,Under way using engine,0.0,10.1,336.9,338.0,9850355,PBOI,ACTA CENTAURUS,Other,No additional information,18.0,93.0,Undefined,5.8,SANDBANK OWF,30/11/2024 03:00:00,AIS,46.0,47.0,8.0,10.0
30/11/2024 04:07:56,Class A,244341000,55.002348,7.049003,Under way using engine,0.0,10.1,336.9,338.0,9850355,PBOI,ACTA CENTAURUS,Other,No additional information,18.0,93.0,Undefined,5.8,SANDBANK OWF,30/11/2024 03:00:00,AIS,46.0,47.0,8.0,10.0
30/11/2024 04:07:56,Class A,244341000,55.002348,7.049003,Under way using engine,0.0,10.1,336.9,338.0,9850355,PBOI,ACTA CENTAURUS,Other,No additional information,18.0,93.0,Undefined,5.8,SANDBANK OWF,30/11/2024 03:00:00,AIS,46.0,47.0,8.0,10.0
30/11/2024 04:08:17,Class A,244341000,55.003217,7.048408,Under way using engine,0.0,10.0,339.4,338.0,9850355,PBOI,ACTA CENTAURUS,Other,No additional information,18.0,93.0,Undefined,5.8,SANDBANK OWF,30/11/2024 03:00:00,AIS,46.0,47.0,8.0,10.0
30/11/2024 04:08:37,Class A,244341000,55.004142,7.047792,Under way using engine,0.0,10.2,339.6,339.0,9850355,PBOI,ACTA CENTAURUS,Other,No additional information,18.0,93.0,Undefined,5.8,SANDBANK OWF,30/11/2024 03:00:00,AIS,46.0,47.0,8.0,10.0
30/11/2024 04:08:46,Class A,244341000,55.004577,7.047505,Under way using engine,0.0,10.0,342.3,338.0,9850355,PBOI,ACTA CENTAURUS,Other,No additional information,18.0,93.0,Undefined,5.8,SANDBANK OWF,30/11/2024 03:00:00,AIS,46.0,47.0,8.0,10.0
