# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 04:35:25,Class A,211493380,54.693158,8.576413,Under way sailing,0.0,0.0,251.0,71.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 04:35:26,Class A,211493380,54.693158,8.576413,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:35:36,Class A,211493380,54.69315,8.576415,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:35:46,Class A,211493380,54.693145,8.576412,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:35:56,Class A,211493380,54.69315,8.576413,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:36:07,Class A,211493380,54.69316,8.576415,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:36:16,Class A,211493380,54.693165,8.576417,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:36:25,Class A,211493380,54.693172,8.576422,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:36:36,Class A,211493380,54.693182,8.576425,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:36:46,Class A,211493380,54.693183,8.57642,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:36:56,Class A,211493380,54.693183,8.576407,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:37:07,Class A,211493380,54.69319,8.576402,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:37:16,Class A,211493380,54.69319,8.576395,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:37:25,Class A,211493380,54.693185,8.576383,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:37:36,Class A,211493380,54.693177,8.576367,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:37:46,Class A,211493380,54.693177,8.576358,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
26/11/2024 04:37:56,Class A,211493380,54.693178,8.576357,Under way sailing,0.0,0.0,251.0,71.0,9548407,DNPM,UTHLANDE,Passenger,,16.0,76.0,GPS,1.7,WYK/DAGEBUELL/AMRUM,09/07/2025 22:00:00,AIS,38.0,38.0,8.0,8.0
