# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 06:15:08,Class A,211542610,54.137877,12.095605,Under way using engine,0.0,6.2,0.0,1.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 06:25:23,Class A,211542610,54.137877,12.095605,Under way using engine,0.0,6.2,0.0,1.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
26/11/2024 06:27:37,Class A,211542610,54.15591,12.101562,Under way using engine,0.0,6.3,44.1,46.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
26/11/2024 06:28:37,Class A,211542610,54.157132,12.10365,Under way using engine,0.0,6.2,47.2,50.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
26/11/2024 06:28:54,Class A,211542610,54.157458,12.104273,Under way using engine,0.0,6.2,48.1,50.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
26/11/2024 06:31:02,Class A,211542610,54.159552,12.109288,Under way using engine,,6.0,68.2,75.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
26/11/2024 06:33:31,Class A,211542610,54.159755,12.116238,Under way using engine,,5.4,94.2,107.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
26/11/2024 06:33:34,Class A,211542610,54.159738,12.116355,Under way using engine,,5.3,98.0,111.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
26/11/2024 06:33:41,Class A,211542610,54.159683,12.116612,Under way using engine,,5.1,104.5,118.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
26/11/2024 06:34:44,Class A,211542610,54.158795,12.118355,Under way using engine,0.0,4.7,133.7,135.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
26/11/2024 06:35:04,Class A,211542610,54.15848,12.118813,Under way using engine,,4.5,140.9,150.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
26/11/2024 06:35:18,Class A,211542610,54.15827,12.119005,Under way using engine,,4.1,149.6,162.0,9573359,DBFM,CLUPEA,Fishing,,7.0,28.0,GPS,2.5,BECKEN C SURVEY 14,26/11/2024 07:00:00,AIS,10.0,18.0,5.0,2.0
