# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:01:19,Class A,211810060,54.952802,12.4674,Moored,,0.1,34.4,199.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:01:40,Class A,211810060,54.952802,12.4674,Moored,,0.1,34.4,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:04:19,Class A,211810060,54.952803,12.46742,Moored,,0.0,36.0,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:07:19,Class A,211810060,54.952788,12.4674,Moored,,0.0,36.0,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:10:19,Class A,211810060,54.952787,12.467393,Moored,,0.0,32.7,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:13:40,Class A,211810060,54.952787,12.467393,Moored,,0.0,32.7,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:19:40,Class A,211810060,54.952787,12.467393,Moored,,0.0,32.7,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:22:19,Class A,211810060,54.95281,12.467368,Moored,,0.0,37.6,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:25:19,Class A,211810060,54.952797,12.467358,Moored,,0.0,37.6,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:28:19,Class A,211810060,54.952785,12.467357,Moored,,0.0,37.6,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:31:40,Class A,211810060,54.952785,12.467357,Moored,,0.0,37.6,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:37:19,Class A,211810060,54.952788,12.467382,Moored,,0.0,37.6,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:37:40,Class A,211810060,54.952788,12.467382,Moored,,0.0,37.6,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:40:19,Class A,211810060,54.952787,12.467393,Moored,,0.0,37.6,200.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:43:19,Class A,211810060,54.952768,12.467408,Moored,,0.0,37.6,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:43:40,Class A,211810060,54.952768,12.467408,Moored,,0.0,37.6,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:46:19,Class A,211810060,54.952823,12.467383,Moored,,0.0,150.1,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:49:19,Class A,211810060,54.95279,12.467407,Moored,,0.0,150.1,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:49:40,Class A,211810060,54.95279,12.467407,Moored,,0.0,150.1,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:52:19,Class A,211810060,54.952803,12.467405,Moored,,0.0,150.1,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:55:40,Class A,211810060,54.952803,12.467405,Moored,,0.0,150.1,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 00:58:19,Class A,211810060,54.952793,12.467398,Moored,,0.0,150.1,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:01:19,Class A,211810060,54.952788,12.467408,Moored,,0.0,143.2,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:01:40,Class A,211810060,54.952788,12.467408,Moored,,0.0,143.2,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:04:19,Class A,211810060,54.952777,12.467397,Moored,,0.1,132.8,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:07:40,Class A,211810060,54.952777,12.467397,Moored,,0.1,132.8,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:10:19,Class A,211810060,54.952792,12.467397,Moored,,0.0,132.5,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:13:19,Class A,211810060,54.952783,12.467387,Moored,,0.0,132.5,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:13:40,Class A,211810060,54.952783,12.467387,Moored,,0.0,132.5,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:16:19,Class A,211810060,54.952787,12.467403,Moored,,0.0,132.5,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:19:19,Class A,211810060,54.952778,12.467388,Moored,,0.0,132.5,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:19:40,Class A,211810060,54.952778,12.467388,Moored,,0.0,132.5,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:22:19,Class A,211810060,54.95279,12.467425,Moored,,0.0,121.7,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:25:19,Class A,211810060,54.952825,12.467383,Moored,,0.1,131.0,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:25:40,Class A,211810060,54.952825,12.467383,Moored,,0.1,131.0,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:28:19,Class A,211810060,54.952782,12.467407,Moored,,0.0,123.4,200.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:31:19,Class A,211810060,54.95279,12.4674,Moored,,0.0,125.5,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:31:40,Class A,211810060,54.95279,12.4674,Moored,,0.0,125.5,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:34:19,Class A,211810060,54.952792,12.467403,Moored,,0.2,165.8,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:37:40,Class A,211810060,54.952792,12.467403,Moored,,0.2,165.8,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:40:19,Class A,211810060,54.952798,12.467418,Moored,,0.0,144.3,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:43:40,Class A,211810060,54.952798,12.467418,Moored,,0.0,144.3,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:46:19,Class A,211810060,54.95279,12.467425,Moored,,0.1,20.2,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:49:19,Class A,211810060,54.952802,12.467387,Moored,,0.1,333.2,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 01:55:40,Class A,211810060,54.952802,12.467387,Moored,,0.1,333.2,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 02:01:40,Class A,211810060,54.952802,12.467387,Moored,,0.1,333.2,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
26/11/2024 02:04:19,Class A,211810060,54.95277,12.467388,Moored,,0.0,328.2,199.0,Unknown,DKIR2,WINDCAT 43,HSC,,8.0,22.0,GPS,2.1,KLINTHOLM<>BALTIC2,22/11/2024 06:00:00,AIS,8.0,14.0,4.0,4.0
