# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 06:40:16,Class A,219014214,55.463052,8.44205,Under way using engine,,0.0,341.7,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 06:40:26,Class A,219014214,55.463052,8.44205,Under way using engine,,0.0,341.7,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:40:36,Class A,219014214,55.46305,8.442055,Under way using engine,,0.0,343.1,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:40:46,Class A,219014214,55.463045,8.442065,Under way using engine,,0.0,338.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:40:56,Class A,219014214,55.463117,8.442217,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:41:06,Class A,219014214,55.463117,8.442217,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:41:16,Class A,219014214,55.463083,8.442133,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:41:25,Class A,219014214,55.463083,8.442117,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:41:36,Class A,219014214,55.463083,8.442133,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:41:46,Class A,219014214,55.463067,8.442067,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:41:56,Class A,219014214,55.463067,8.442067,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:42:06,Class A,219014214,55.463067,8.442083,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:42:16,Class A,219014214,55.46305,8.44205,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:42:25,Class A,219014214,55.463033,8.442033,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:42:36,Class A,219014214,55.463033,8.442033,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:42:46,Class A,219014214,55.463033,8.442033,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:42:56,Class A,219014214,55.463017,8.442,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:43:06,Class A,219014214,55.463017,8.442,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:43:16,Class A,219014214,55.463017,8.442,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:43:25,Class A,219014214,55.463017,8.442,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:43:36,Class A,219014214,55.463017,8.442,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:43:46,Class A,219014214,55.463017,8.441983,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:44:06,Class A,219014214,55.463017,8.441983,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:44:25,Class A,219014214,55.463017,8.441983,Under way using engine,,0.1,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:44:36,Class A,219014214,55.463,8.441967,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:44:46,Class A,219014214,55.463,8.441967,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:44:56,Class A,219014214,55.463017,8.441967,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:45:06,Class A,219014214,55.463017,8.441983,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:45:16,Class A,219014214,55.463,8.44195,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:45:25,Class A,219014214,55.462983,8.441933,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:45:36,Class A,219014214,55.462983,8.441933,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:45:46,Class A,219014214,55.462983,8.441933,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
26/11/2024 06:45:55,Class A,219014214,55.462983,8.441933,Under way using engine,,0.0,41.6,,Unknown,XPE2366,ESVAGT FRB61,SAR,,2.0,7.0,Internal,1.2,DAN FOX,,AIS,7.0,,1.0,1.0
