# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 09:59:28,Class A,219015361,55.460823,8.448837,Under way using engine,0.0,0.0,134.5,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 10:00:43,Class A,219015361,55.460823,8.448837,Under way using engine,0.0,0.0,134.5,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:00:58,Class A,219015361,55.460822,8.448842,Under way using engine,0.0,0.0,134.1,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:01:08,Class A,219015361,55.460822,8.448842,Under way using engine,0.0,0.1,133.7,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:01:58,Class A,219015361,55.460822,8.448843,Under way using engine,0.0,0.0,131.6,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:02:28,Class A,219015361,55.460822,8.448843,Under way using engine,0.0,0.0,129.6,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:02:38,Class A,219015361,55.460822,8.448843,Under way using engine,0.0,0.0,129.0,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:02:58,Class A,219015361,55.460822,8.448843,Under way using engine,0.0,0.0,128.7,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:03:18,Class A,219015361,55.460822,8.448843,Under way using engine,0.0,0.0,129.5,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:04:08,Class A,219015361,55.460822,8.448843,Under way using engine,0.0,0.0,126.7,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
26/11/2024 10:06:48,Class A,219015361,55.460823,8.448843,Under way using engine,0.0,0.0,342.4,,Unknown,XPE3158,ESVAGT DC 2,HSC,,4.0,12.0,Combined GPS/GLONASS,1.0,SAR,,AIS,4.0,8.0,3.0,1.0
