# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:00:14,Class A,220092000,57.320647,11.125125,Moored,-3.6,0.0,202.5,80.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:02:36,Class A,220092000,57.320647,11.125125,Moored,-3.6,0.0,202.5,80.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:03:15,Class A,220092000,57.320647,11.125145,Moored,-1.6,0.0,149.4,80.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:08:36,Class A,220092000,57.320647,11.125145,Moored,-1.6,0.0,149.4,80.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:09:14,Class A,220092000,57.320647,11.12514,Moored,3.6,0.0,116.9,81.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:12:14,Class A,220092000,57.320658,11.125147,Moored,-4.5,0.0,221.0,80.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:14:36,Class A,220092000,57.320658,11.125147,Moored,-4.5,0.0,221.0,80.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:18:14,Class A,220092000,57.320647,11.12515,Moored,-2.9,0.0,114.6,80.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:20:36,Class A,220092000,57.320647,11.12515,Moored,-2.9,0.0,114.6,80.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:21:12,Class A,220092000,57.32064,11.125143,Moored,-2.2,0.0,185.6,80.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:24:14,Class A,220092000,57.320647,11.125157,Moored,1.6,0.0,73.9,81.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:26:36,Class A,220092000,57.320647,11.125157,Moored,1.6,0.0,73.9,81.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
26/11/2024 00:27:15,Class A,220092000,57.320627,11.125145,Moored,-1.1,0.0,59.8,80.0,Unknown,OWBG,OCEANS OF HOPE,Sailing,,5.0,20.0,GPS,3.0,OESTERBY HAVN,07/09/2025 08:30:00,AIS,20.0,,,5.0
