# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:00:07,Class A,230187320,56.812182,11.893847,Under way using engine,,7.7,339.0,333.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:15,Class A,230187320,56.812182,11.893847,Under way using engine,,7.7,339.0,333.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:00:18,Class A,230187320,56.812553,11.89359,Under way using engine,0.0,7.8,337.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:00:26,Class A,230187320,56.812817,11.893398,Under way using engine,,7.7,340.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:00:26,Class A,230187320,56.812817,11.893398,Under way using engine,,7.7,340.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:00:38,Class A,230187320,56.813187,11.893132,Under way using engine,,7.8,337.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:00:47,Class A,230187320,56.813523,11.8929,Under way using engine,,7.8,335.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:00:47,Class A,230187320,56.813523,11.8929,Under way using engine,,7.8,335.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:00:58,Class A,230187320,56.813892,11.89264,Under way using engine,0.0,7.8,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:01:07,Class A,230187320,56.814195,11.892435,Under way using engine,0.0,7.7,339.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:01:07,Class A,230187320,56.814195,11.892435,Under way using engine,0.0,7.7,339.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:01:18,Class A,230187320,56.814557,11.892167,Under way using engine,,7.7,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:01:26,Class A,230187320,56.814827,11.89198,Under way using engine,0.0,7.8,337.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:01:38,Class A,230187320,56.815228,11.891708,Under way using engine,,7.7,339.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:01:47,Class A,230187320,56.815527,11.891483,Under way using engine,,7.7,337.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:01:47,Class A,230187320,56.815527,11.891483,Under way using engine,,7.7,337.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:01:58,Class A,230187320,56.815865,11.891268,Under way using engine,0.0,7.7,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:02:07,Class A,230187320,56.816163,11.891045,Under way using engine,0.0,7.8,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:02:18,Class A,230187320,56.816533,11.890793,Under way using engine,,7.7,342.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:02:26,Class A,230187320,56.816865,11.890547,Under way using engine,0.0,7.7,339.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:02:36,Class A,230187320,56.8172,11.890312,Under way using engine,0.0,7.8,340.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:02:47,Class A,230187320,56.817535,11.890072,Under way using engine,0.0,7.8,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:02:58,Class A,230187320,56.817903,11.889815,Under way using engine,0.0,7.8,339.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:03:07,Class A,230187320,56.818198,11.889588,Under way using engine,,7.7,337.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:03:07,Class A,230187320,56.818198,11.889588,Under way using engine,,7.7,337.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:03:07,Class A,230187320,56.818198,11.889588,Under way using engine,,7.7,337.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:03:17,Class A,230187320,56.818533,11.889373,Under way using engine,,7.7,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:03:17,Class A,230187320,56.818533,11.889373,Under way using engine,,7.7,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:03:26,Class A,230187320,56.81883,11.889157,Under way using engine,0.0,7.7,336.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:03:36,Class A,230187320,56.819158,11.888918,Under way using engine,,7.6,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:03:47,Class A,230187320,56.819493,11.88869,Under way using engine,,7.7,338.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:03:47,Class A,230187320,56.819493,11.88869,Under way using engine,,7.7,338.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:03:58,Class A,230187320,56.819855,11.888435,Under way using engine,,7.6,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:04:06,Class A,230187320,56.820157,11.888228,Under way using engine,0.0,7.7,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:04:17,Class A,230187320,56.820523,11.887968,Under way using engine,,7.7,337.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:04:17,Class A,230187320,56.820523,11.887968,Under way using engine,,7.7,337.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:04:28,Class A,230187320,56.820892,11.887727,Under way using engine,0.0,7.7,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:04:36,Class A,230187320,56.821158,11.887533,Under way using engine,,7.7,339.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:04:47,Class A,230187320,56.821522,11.887267,Under way using engine,,7.7,338.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:04:58,Class A,230187320,56.821893,11.887015,Under way using engine,0.0,7.7,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:05:06,Class A,230187320,56.822158,11.886822,Under way using engine,,7.7,337.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:05:06,Class A,230187320,56.822158,11.886822,Under way using engine,,7.7,337.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:05:17,Class A,230187320,56.822528,11.886567,Under way using engine,,7.7,336.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:05:28,Class A,230187320,56.822863,11.886343,Under way using engine,,7.7,341.0,335.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:05:36,Class A,230187320,56.823172,11.886148,Under way using engine,,7.8,340.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:05:47,Class A,230187320,56.823535,11.88591,Under way using engine,0.0,7.7,340.0,333.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
26/11/2024 00:05:58,Class A,230187320,56.823892,11.88564,Under way using engine,0.0,7.6,338.0,334.0,8906212,OJVB,SALLA,Cargo,No additional information,11.0,61.0,GPS,2.3,LAESOE,26/11/2024 07:30:00,AIS,54.0,7.0,8.0,3.0
