# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:02:05,Class A,231847000,57.68527,11.88784,Moored,0.0,0.0,260.0,275.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:02:22,Class A,231847000,57.68527,11.88784,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:08:05,Class A,231847000,57.685247,11.887778,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:11:05,Class A,231847000,57.685218,11.887808,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:17:05,Class A,231847000,57.685265,11.887807,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:20:05,Class A,231847000,57.685292,11.887865,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:20:22,Class A,231847000,57.685292,11.887865,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:23:05,Class A,231847000,57.68527,11.887813,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:26:05,Class A,231847000,57.685288,11.887867,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:26:22,Class A,231847000,57.685288,11.887867,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:29:05,Class A,231847000,57.685265,11.887802,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:32:22,Class A,231847000,57.685265,11.887802,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:38:05,Class A,231847000,57.685285,11.88783,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:41:05,Class A,231847000,57.685262,11.887847,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:47:05,Class A,231847000,57.685303,11.887832,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:53:05,Class A,231847000,57.685317,11.88782,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:56:05,Class A,231847000,57.685342,11.887765,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 00:59:05,Class A,231847000,57.685265,11.887808,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 01:02:05,Class A,231847000,57.685272,11.887778,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 01:02:22,Class A,231847000,57.685272,11.887778,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 01:05:05,Class A,231847000,57.68527,11.887853,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 01:08:05,Class A,231847000,57.685287,11.887807,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 01:08:22,Class A,231847000,57.685287,11.887807,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 01:11:05,Class A,231847000,57.685282,11.887795,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
26/11/2024 01:14:05,Class A,231847000,57.685287,11.887753,Moored,0.0,0.0,260.0,275.0,9495375,OZ2135,SVITZER HYMER,Tug,,13.0,35.0,GPS,5.9,GOTHENBURG,25/11/2024 20:00:00,AIS,17.0,18.0,7.0,6.0
