# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:01:44,Class A,244784000,55.696337,12.947957,At anchor,0.0,0.0,114.6,228.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:02:00,Class A,244784000,55.696337,12.947957,At anchor,0.0,0.0,114.6,228.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
26/11/2024 00:04:44,Class A,244784000,55.696313,12.947973,At anchor,0.0,0.0,97.4,229.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
26/11/2024 00:07:43,Class A,244784000,55.696298,12.948015,At anchor,0.0,0.0,171.6,231.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
26/11/2024 00:07:43,Class A,244784000,55.696298,12.948015,At anchor,0.0,0.0,171.6,231.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
26/11/2024 00:08:01,Class A,244784000,55.696298,12.948015,At anchor,0.0,0.0,171.6,231.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
26/11/2024 00:10:43,Class A,244784000,55.696298,12.948042,At anchor,0.0,0.0,114.1,233.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
26/11/2024 00:13:45,Class A,244784000,55.696307,12.948005,At anchor,0.0,0.0,332.2,233.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
26/11/2024 00:13:45,Class A,244784000,55.696307,12.948005,At anchor,0.0,0.0,332.2,233.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
26/11/2024 00:16:44,Class A,244784000,55.696332,12.947947,At anchor,0.0,0.0,297.9,230.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
26/11/2024 00:19:43,Class A,244784000,55.69636,12.947898,At anchor,0.0,0.0,288.7,226.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
26/11/2024 00:19:43,Class A,244784000,55.69636,12.947898,At anchor,0.0,0.0,288.7,226.0,9503914,PCXU,BITLAND,Tanker,No additional information,16.0,99.0,GPS,5.5,MALMO ANCH.,24/11/2024 22:00:00,AIS,82.0,17.0,8.0,8.0
